IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
155.248.202.141,443,TRUE,SJC,North America,San Jose,194 ms,4620 kB/s
47.236.146.249,2083,TRUE,SIN,Asia Pacific,Singapore,320 ms,4611 kB/s
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,305 ms,4606 kB/s
8.219.142.191,8443,TRUE,SIN,Asia Pacific,Singapore,301 ms,4591 kB/s
47.236.146.249,2096,TRUE,SIN,Asia Pacific,Singapore,311 ms,4580 kB/s
129.146.84.236,443,TRUE,LAX,North America,Los Angeles,285 ms,4559 kB/s
8.219.237.250,2083,TRUE,SIN,Asia Pacific,Singapore,312 ms,4527 kB/s
8.219.4.122,2083,TRUE,SIN,Asia Pacific,Singapore,308 ms,4516 kB/s
129.159.47.255,443,TRUE,SJC,North America,San Jose,175 ms,4508 kB/s
8.219.200.145,2096,TRUE,SIN,Asia Pacific,Singapore,314 ms,4507 kB/s
8.222.150.197,2083,TRUE,SIN,Asia Pacific,Singapore,299 ms,4504 kB/s
47.236.117.48,2053,TRUE,SIN,Asia Pacific,Singapore,321 ms,4485 kB/s
47.237.92.26,2087,TRUE,SIN,Asia Pacific,Singapore,313 ms,4466 kB/s
47.237.86.185,2087,TRUE,SIN,Asia Pacific,Singapore,298 ms,4461 kB/s
8.222.164.209,2053,TRUE,SIN,Asia Pacific,Singapore,324 ms,4455 kB/s
47.236.202.91,2087,TRUE,SIN,Asia Pacific,Singapore,303 ms,4434 kB/s
8.219.200.145,2053,TRUE,SIN,Asia Pacific,Singapore,302 ms,4434 kB/s
47.237.84.173,2087,TRUE,SIN,Asia Pacific,Singapore,291 ms,4417 kB/s
152.70.234.188,443,TRUE,NRT,Asia Pacific,Tokyo,93 ms,4412 kB/s
8.219.117.198,2083,TRUE,SIN,Asia Pacific,Singapore,307 ms,4402 kB/s
47.237.84.173,2053,TRUE,SIN,Asia Pacific,Singapore,312 ms,4341 kB/s
8.219.200.145,2087,TRUE,SIN,Asia Pacific,Singapore,302 ms,4306 kB/s
8.222.208.38,2053,TRUE,SIN,Asia Pacific,Singapore,315 ms,4280 kB/s
47.236.180.51,2087,TRUE,SIN,Asia Pacific,Singapore,319 ms,4280 kB/s
8.219.237.250,8443,TRUE,SIN,Asia Pacific,Singapore,299 ms,4258 kB/s
47.237.95.146,2096,TRUE,SIN,Asia Pacific,Singapore,315 ms,4242 kB/s
8.219.237.250,2087,TRUE,SIN,Asia Pacific,Singapore,308 ms,4216 kB/s
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,300 ms,4198 kB/s
47.237.14.220,2096,TRUE,SIN,Asia Pacific,Singapore,292 ms,4180 kB/s
